CNumber,kinase,inhibition,screen_concentration
134,RIPK2,42,10
149,RIPK2,46,0.1
149,RIPK2,10,1
154,RIPK2,14,10
154,RIPK2,10,1
157,RIPK2,31,20
157,RIPK2,42,10
162,RIPK2,26,0.1
162,RIPK2,9,1
172,RIPK2,34,1
172,RIPK2,9,10
184,RIPK2,7,10
184,RIPK2,16,1
208,RIPK2,21,10
211,RIPK2,2,10
211,RIPK2,5,1
211,RIPK2,21,0.1
219,RIPK2,28,0.1
219,RIPK2,14,1
221,RIPK2,46,100
265,RIPK2,23,1
265,RIPK2,20,10
265,RIPK2,27,0.1
278,RIPK2,14,1
278,RIPK2,19,0.1
279,RIPK2,11,1
280,RIPK2,32,1
280,RIPK2,29,10
293,RIPK2,43,100
294,RIPK2,15,10
294,RIPK2,46,1
313,RIPK2,4,1
313,RIPK2,3,0.1
328,RIPK2,10,1
328,RIPK2,5,0.1
339,RIPK2,5,10
339,RIPK2,12,1
341,RIPK2,10,1
5,ROCK 2,48,0.01
5,ROCK 2,8,0.1
47,ROCK 2,43,10
53,ROCK 2,2,1
54,ROCK 2,15,10
55,ROCK 2,13,10
56,ROCK 2,6,10
56,ROCK 2,5,1
57,ROCK 2,32,1
57,ROCK 2,12,10
67,ROCK 2,42,1
78,ROCK 2,28,10
78,ROCK 2,6,100
119,ROCK 2,19,10
119,ROCK 2,46,1
128,ROCK 2,7,10
142,ROCK 2,49,0.1
142,ROCK 2,18,10
142,ROCK 2,42,0.2
142,ROCK 2,21,1
147,ROCK 2,43,1
147,ROCK 2,13,10
152,ROCK 2,2,1
153,ROCK 2,7,0.1
153,ROCK 2,2,1
172,ROCK 2,29,1
172,ROCK 2,5,10
208,ROCK 2,24,10
219,ROCK 2,49,0.1
219,ROCK 2,25,1
266,ROCK 2,17,10
266,ROCK 2,31,0.1
266,ROCK 2,23,1
280,ROCK 2,18,1
280,ROCK 2,14,10
294,ROCK 2,2,10
294,ROCK 2,5,1
339,ROCK 2,10,10
339,ROCK 2,34,1
341,ROCK 2,36,1
16,RSK1,41,10
18,RSK1,1,0.1
18,RSK1,14,0.01
18,RSK1,2,10
18,RSK1,0,1
25,RSK1,24,0.1
25,RSK1,10,1
25,RSK1,5,10
43,RSK1,46,10
47,RSK1,0,10
49,RSK1,9,0.1
50,RSK1,10,0.1
50,RSK1,5,1
50,RSK1,5,10
53,RSK1,21,1
54,RSK1,16,10
55,RSK1,18,10
56,RSK1,8,10
56,RSK1,24,1
66,RSK1,6,0.1
66,RSK1,1,1
66,RSK1,3,10
71,RSK1,18,1
78,RSK1,43,10
78,RSK1,12,100
91,RSK1,6,10
91,RSK1,31,0.1
91,RSK1,29,1
96,RSK1,11,0.1
96,RSK1,2,10
96,RSK1,4,1
101,RSK1,33,10
111,RSK1,23,10
119,RSK1,27,10
119,RSK1,38,1
122,RSK1,25,0.01
125,RSK1,31,1
125,RSK1,25,10
127,RSK1,3,10
127,RSK1,14,0.1
127,RSK1,2,1
128,RSK1,21,10
139,RSK1,6,10
139,RSK1,34,0.1
139,RSK1,6,1
152,RSK1,20,1
153,RSK1,32,0.1
153,RSK1,7,1
173,RSK1,6,10
173,RSK1,45,1
208,RSK1,3,10
259,RSK1,14,1
259,RSK1,8,10
264,RSK1,46,0.1
264,RSK1,33,1
264,RSK1,0,10
266,RSK1,9,10
266,RSK1,33,0.1
266,RSK1,15,1
279,RSK1,42,1
289,RSK1,9,0.01
289,RSK1,3,0.1
289,RSK1,1,1
290,RSK1,21,1
290,RSK1,8,10
294,RSK1,4,10
294,RSK1,13,1
313,RSK1,3,1
313,RSK1,2,0.1
339,RSK1,15,10
339,RSK1,49,1
341,RSK1,14,1
349,RSK1,48,1
352,RSK1,7,1
353,RSK1,9,1
355,RSK1,7,1
356,RSK1,7,1
18,RSK2,2,0.1
18,RSK2,32,0.01
18,RSK2,1,10
18,RSK2,4,1
25,RSK2,38,0.1
25,RSK2,32,1
25,RSK2,22,10
43,RSK2,6,10
49,RSK2,5,0.1
50,RSK2,3,0.1
50,RSK2,0,1
50,RSK2,0,10
53,RSK2,39,1
54,RSK2,38,10
55,RSK2,39,10
56,RSK2,19,10
56,RSK2,40,1
66,RSK2,28,0.1
66,RSK2,1,1
66,RSK2,1,10
71,RSK2,19,1
96,RSK2,3,0.1
96,RSK2,1,10
96,RSK2,1,1
101,RSK2,40,10
111,RSK2,30,10
122,RSK2,28,0.01
127,RSK2,4,10
127,RSK2,15,0.1
127,RSK2,9,1
128,RSK2,43,10
133,RSK2,6,10
133,RSK2,6,5
133,RSK2,12,1
139,RSK2,3,10
139,RSK2,41,0.1
139,RSK2,11,1
152,RSK2,48,1
156,RSK2,12,10
156,RSK2,22,1
173,RSK2,11,10
173,RSK2,39,1
205,RSK2,37,10
208,RSK2,-1,10
219,RSK2,38,0.1
219,RSK2,9,1
259,RSK2,24,1
259,RSK2,15,10
289,RSK2,16,0.01
289,RSK2,7,0.1
289,RSK2,6,1
290,RSK2,34,1
290,RSK2,9,10
294,RSK2,6,10
294,RSK2,18,1
313,RSK2,1,1
313,RSK2,4,0.1
341,RSK2,46,1
352,RSK2,24,1
353,RSK2,36,1
355,RSK2,26,1
356,RSK2,24,1
43,S6K1,37,10
44,S6K1,33,3
47,S6K1,3,10
49,S6K1,16,0.1
50,S6K1,11,0.1
50,S6K1,2,1
50,S6K1,1,10
55,S6K1,46,10
56,S6K1,3,10
56,S6K1,10,1
66,S6K1,28,0.1
66,S6K1,9,1
66,S6K1,3,10
78,S6K1,32,10
78,S6K1,13,100
96,S6K1,20,0.1
96,S6K1,2,10
96,S6K1,2,1
120,S6K1,47,1
120,S6K1,2,10
152,S6K1,24,1
153,S6K1,21,0.1
153,S6K1,20,1
208,S6K1,4,10
264,S6K1,39,0.1
264,S6K1,16,1
264,S6K1,6,10
266,S6K1,4,10
266,S6K1,16,0.1
266,S6K1,5,1
279,S6K1,21,1
289,S6K1,37,0.01
289,S6K1,6,0.1
289,S6K1,3,1
294,S6K1,12,10
294,S6K1,36,1
313,S6K1,2,1
313,S6K1,6,0.1
339,S6K1,16,10
339,S6K1,43,1
343,S6K1,9,1
344,S6K1,5,1
345,S6K1,2,1
349,S6K1,3,1
352,S6K1,1,1
353,S6K1,1,1
355,S6K1,0,1
356,S6K1,1,1
47,SGK1,1,10
66,SGK1,14,0.1
66,SGK1,8,1
66,SGK1,8,10
71,SGK1,20,1
96,SGK1,47,0.1
96,SGK1,2,10
96,SGK1,6,1
114,SGK1,27,1
172,SGK1,24,1
172,SGK1,4,10
208,SGK1,1,10
294,SGK1,10,10
294,SGK1,12,1
313,SGK1,12,1
313,SGK1,27,0.1
343,SGK1,4,1
344,SGK1,4,1
345,SGK1,6,1
349,SGK1,6,1
350,SGK1,14,1
350,SGK1,7,10
352,SGK1,10,1
353,SGK1,11,1
355,SGK1,2,1
356,SGK1,2,1
175,SIK2,45,0.1
175,SIK2,9,1
175,SIK2,8,10
261,SIK2,49,1
261,SIK2,47,10
278,SIK2,10,1
278,SIK2,39,0.1
279,SIK2,14,1
289,SIK2,4,0.01
289,SIK2,0,0.1
289,SIK2,1,1
293,SIK2,43,100
294,SIK2,4,10
294,SIK2,20,1
300,SIK2,3,1
300,SIK2,8,0.1
313,SIK2,2,1
313,SIK2,6,0.1
320,SIK2,9,0.1
320,SIK2,2,1
328,SIK2,2,1
328,SIK2,4,0.1
329,SIK2,3,1
329,SIK2,8,0.1
341,SIK2,6,1
289,SIK3,31,0.01
289,SIK3,7,0.1
289,SIK3,2,1
294,SIK3,4,10
294,SIK3,23,1
300,SIK3,5,1
300,SIK3,19,0.1
313,SIK3,4,1
313,SIK3,12,0.1
320,SIK3,42,0.1
320,SIK3,11,1
328,SIK3,2,1
328,SIK3,9,0.1
329,SIK3,2,1
329,SIK3,9,0.1
341,SIK3,11,1
49,SmMLCK,31,0.1
50,SmMLCK,15,0.1
50,SmMLCK,6,1
50,SmMLCK,3,10
66,SmMLCK,32,0.1
66,SmMLCK,4,1
66,SmMLCK,12,10
72,SmMLCK,43,
72,SmMLCK,35,
77,SmMLCK,46,2
77,SmMLCK,12,20
98,SmMLCK,24,10
98,SmMLCK,15,20
101,SmMLCK,40,10
114,SmMLCK,34,1
154,SmMLCK,14,10
154,SmMLCK,49,1
208,SmMLCK,9,10
260,SmMLCK,32,1
260,SmMLCK,23,10
279,SmMLCK,18,1
289,SmMLCK,48,0.01
289,SmMLCK,4,0.1
289,SmMLCK,1,1
290,SmMLCK,31,1
290,SmMLCK,6,10
291,SmMLCK,44,1
291,SmMLCK,8,10
294,SmMLCK,5,10
294,SmMLCK,19,1
313,SmMLCK,6,1
313,SmMLCK,13,0.1
339,SmMLCK,14,10
339,SmMLCK,43,1
355,SmMLCK,39,1
356,SmMLCK,23,1
2,Src,20,1
2,Src,3,10
3,Src,29,1
3,Src,7,10
16,Src,44,10
25,Src,41,0.1
25,Src,7,1
25,Src,1,10
43,Src,21,10
44,Src,10,3
63,Src,39,1
63,Src,14,10
67,Src,38,1
89,Src,17,0.1
89,Src,4,1
89,Src,0,10
90,Src,17,0.1
90,Src,8,1
90,Src,7,10
91,Src,2,10
91,Src,22,0.1
91,Src,20,1
93,Src,19,0.1
93,Src,2,1
115,Src,12,1
115,Src,2,10
119,Src,11,10
119,Src,12,1
125,Src,23,1
125,Src,3,10
149,Src,2,10
149,Src,32,0.1
149,Src,15,1
154,Src,8,10
154,Src,39,1
156,Src,25,10
156,Src,38,1
172,Src,36,1
172,Src,14,10
175,Src,13,0.1
175,Src,3,1
175,Src,1,10
181,Src,17,0.1
181,Src,3,1
207,Src,44,1
208,Src,3,10
211,Src,6,10
211,Src,13,1
211,Src,37,0.1
219,Src,7,0.1
219,Src,3,1
221,Src,40,100
223,Src,3,10
223,Src,32,1
226,Src,45,0.01
226,Src,10,0.1
226,Src,3,1
259,Src,44,1
259,Src,20,10
278,Src,1,1
278,Src,3,0.1
279,Src,13,1
286,Src,3,1
286,Src,9,0.1
286,Src,45,0.01
294,Src,12,10
294,Src,46,1
300,Src,5,1
300,Src,23,0.1
313,Src,5,1
313,Src,9,0.1
328,Src,2,1
328,Src,1,0.1
329,Src,1,1
329,Src,1,0.1
43,SRPK1,5,10
98,SRPK1,6,10
98,SRPK1,9,20
101,SRPK1,12,10
119,SRPK1,6,10
119,SRPK1,19,1
208,SRPK1,2,10
56,STK33,11,10
56,STK33,42,1
66,STK33,6,10
96,STK33,7,10
96,STK33,10,1
119,STK33,23,10
119,STK33,30,1
208,STK33,6,10
219,STK33,30,0.1
219,STK33,23,1
222,STK33,20,10
222,STK33,31,1
259,STK33,16,1
259,STK33,16,10
279,STK33,25,1
289,STK33,44,0.01
289,STK33,27,0.1
289,STK33,23,1
290,STK33,39,1
290,STK33,22,10
291,STK33,47,1
291,STK33,30,10
294,STK33,10,10
294,STK33,30,1
300,STK33,12,1
300,STK33,35,0.1
313,STK33,10,1
313,STK33,12,0.1
329,STK33,17,1
329,STK33,34,0.1
352,STK33,36,1
353,STK33,46,1
10,SYK,31,1
66,SYK,12,0.1
66,SYK,5,1
66,SYK,5,10
140,SYK,0,10
140,SYK,31,0.1
140,SYK,9,1
172,SYK,30,1
172,SYK,11,10
175,SYK,38,0.1
175,SYK,6,1
175,SYK,8,10
208,SYK,4,10
280,SYK,36,1
280,SYK,32,10
289,SYK,21,0.01
289,SYK,6,0.1
289,SYK,2,1
313,SYK,7,1
313,SYK,35,0.1
319,SYK,5,0.1
319,SYK,2,1
319,SYK,1,10
18,TAK1,9,10
18,TAK1,49,1
26,TAK1,8,0.1
26,TAK1,1,1
63,TAK1,21,1
63,TAK1,5,10
66,TAK1,4,1
66,TAK1,3,10
96,TAK1,8,10
96,TAK1,37,1
127,TAK1,41,0.1
127,TAK1,5,1
133,TAK1,15,5
133,TAK1,47,1
139,TAK1,48,0.1
139,TAK1,11,1
142,TAK1,37,0.2
142,TAK1,24,1
151,TAK1,32,0.1
151,TAK1,8,1
172,TAK1,13,1
172,TAK1,2,10
177,TAK1,5,0.1
177,TAK1,3,1
207,TAK1,18,1
208,TAK1,2,10
219,TAK1,14,0.1
219,TAK1,19,1
221,TAK1,31,100
277,TAK1,4,10
277,TAK1,7,1
277,TAK1,11,0.1
279,TAK1,6,1
280,TAK1,16,1
280,TAK1,14,10
290,TAK1,17,1
290,TAK1,2,10
291,TAK1,11,1
291,TAK1,2,10
294,TAK1,1,10
294,TAK1,4,1
300,TAK1,7,1
300,TAK1,43,0.1
310,TAK1,6,1
310,TAK1,29,0.1
313,TAK1,1,1
313,TAK1,0,0.1
320,TAK1,49,0.1
320,TAK1,15,1
329,TAK1,5,1
329,TAK1,41,0.1
330,TAK1,40,1
341,TAK1,41,1
345,TAK1,38,1
349,TAK1,45,1
18,TAO1,8,10
18,TAO1,18,1
66,TAO1,5,10
91,TAO1,42,0.1
91,TAO1,33,1
95,TAO1,32,10
96,TAO1,7,10
96,TAO1,34,1
208,TAO1,4,10
279,TAO1,25,1
294,TAO1,4,10
294,TAO1,15,1
310,TAO1,7,1
310,TAO1,30,0.1
313,TAO1,3,1
313,TAO1,3,0.1
10,TBK1,35,1
23,TBK1,31,1
23,TBK1,5,10
25,TBK1,27,0.1
25,TBK1,7,1
25,TBK1,11,10
26,TBK1,25,0.01
26,TBK1,2,10
26,TBK1,9,0.1
26,TBK1,6,1
64,TBK1,21,1
64,TBK1,17,10
66,TBK1,12,0.1
66,TBK1,3,1
66,TBK1,11,10
96,TBK1,6,10
96,TBK1,28,1
102,TBK1,43,2
102,TBK1,12,10
120,TBK1,34,1
120,TBK1,4,10
127,TBK1,18,10
127,TBK1,11,0.1
127,TBK1,17,1
172,TBK1,17,10
172,TBK1,23,1
175,TBK1,40,0.1
175,TBK1,9,1
175,TBK1,10,10
202,TBK1,10,1
202,TBK1,12,0.1
208,TBK1,5,10
219,TBK1,14,0.1
219,TBK1,8,1
279,TBK1,42,1
289,TBK1,22,0.01
289,TBK1,16,0.1
289,TBK1,12,1
294,TBK1,5,10
294,TBK1,7,1
313,TBK1,6,1
313,TBK1,11,0.1
320,TBK1,45,0.1
320,TBK1,12,1
279,TGFBR1,42,1
66,TIE2,7,10
208,TIE2,9,10
259,TIE2,18,1
259,TIE2,5,10
279,TIE2,41,1
313,TIE2,3,1
313,TIE2,20,0.1
343,TIE2,15,1
344,TIE2,9,1
345,TIE2,10,1
349,TIE2,10,1
355,TIE2,29,1
356,TIE2,17,1
66,TLK1,3,10
208,TLK1,5,10
19,TrkA,13,0.1
63,TrkA,32,1
63,TrkA,26,10
64,TrkA,28,10
64,TrkA,30,1
66,TrkA,6,1
66,TrkA,2,10
90,TrkA,40,1
90,TrkA,40,10
91,TrkA,4,10
91,TrkA,14,0.1
91,TrkA,19,1
93,TrkA,45,0.1
93,TrkA,13,1
96,TrkA,1,10
96,TrkA,7,1
116,TrkA,47,1
116,TrkA,30,10
118,TrkA,29,0.1
118,TrkA,25,1
119,TrkA,5,10
119,TrkA,49,1
139,TrkA,12,0.1
139,TrkA,10,1
146,TrkA,29,0.1
149,TrkA,33,0.1
149,TrkA,27,1
151,TrkA,25,0.1
151,TrkA,10,1
172,TrkA,18,1
172,TrkA,14,10
175,TrkA,26,0.1
175,TrkA,5,1
175,TrkA,3,10
177,TrkA,46,0.1
177,TrkA,24,1
181,TrkA,23,0.1
181,TrkA,9,1
189,TrkA,32,0.1
189,TrkA,18,1
207,TrkA,14,1
208,TrkA,1,10
219,TrkA,32,0.1
219,TrkA,11,1
259,TrkA,41,1
259,TrkA,16,10
279,TrkA,10,1
289,TrkA,5,0.01
289,TrkA,3,0.1
289,TrkA,2,1
294,TrkA,2,10
294,TrkA,6,1
300,TrkA,8,1
300,TrkA,33,0.1
313,TrkA,1,1
313,TrkA,7,0.1
317,TrkA,3,1
317,TrkA,37,0.1
319,TrkA,38,0.1
319,TrkA,16,1
319,TrkA,6,10
320,TrkA,40,0.1
320,TrkA,17,1
329,TrkA,7,1
329,TrkA,25,0.1
341,TrkA,2,1
175,TSSK1,44,0.1
175,TSSK1,10,1
175,TSSK1,5,10
219,TSSK1,31,0.1
219,TSSK1,5,1
222,TSSK1,9,10
222,TSSK1,35,1
259,TSSK1,10,1
259,TSSK1,8,10
289,TSSK1,13,0.01
289,TSSK1,5,0.1
289,TSSK1,4,1
290,TSSK1,12,1
290,TSSK1,3,10
291,TSSK1,31,1
291,TSSK1,7,10
293,TSSK1,44,100
294,TSSK1,15,10
294,TSSK1,46,1
310,TSSK1,13,1
310,TSSK1,49,0.1
313,TSSK1,1,1
313,TSSK1,5,0.1
317,TSSK1,2,1
317,TSSK1,18,0.1
339,TSSK1,9,10
339,TSSK1,41,1
341,TSSK1,46,1
351,TSSK1,13,10
351,TSSK1,47,1
310,TTBK1,8,1
310,TTBK1,47,0.1
66,TTK,18,1
66,TTK,19,10
96,TTK,16,10
96,TTK,35,1
208,TTK,23,10
289,TTK,37,0.01
289,TTK,13,0.1
289,TTK,7,1
294,TTK,15,10
294,TTK,29,1
313,TTK,3,1
313,TTK,6,0.1
119,ULK1,2,10
119,ULK1,1,1
175,ULK1,13,0.1
175,ULK1,3,1
175,ULK1,2,10
294,ULK1,4,10
294,ULK1,12,1
320,ULK1,48,0.1
320,ULK1,15,1
341,ULK1,36,1
119,ULK2,7,10
119,ULK2,8,1
175,ULK2,29,0.1
175,ULK2,7,1
175,ULK2,10,10
279,ULK2,37,1
289,ULK2,30,0.01
289,ULK2,5,0.1
289,ULK2,1,1
294,ULK2,3,10
294,ULK2,13,1
300,ULK2,5,1
300,ULK2,20,0.1
313,ULK2,4,1
313,ULK2,14,0.1
341,ULK2,4,1
356,ULK2,46,1
25,VEGFR1,7,0.1
25,VEGFR1,3,1
25,VEGFR1,1,10
35,VEGFR1,18,1
35,VEGFR1,18,0.1
35,VEGFR1,15,10
41,VEGFR1,18,10
41,VEGFR1,48,1
43,VEGFR1,20,10
63,VEGFR1,23,1
63,VEGFR1,4,10
64,VEGFR1,23,10
64,VEGFR1,15,1
66,VEGFR1,8,0.1
66,VEGFR1,6,1
66,VEGFR1,2,10
96,VEGFR1,2,10
96,VEGFR1,5,1
118,VEGFR1,45,0.1
118,VEGFR1,28,1
127,VEGFR1,20,10
127,VEGFR1,47,0.1
127,VEGFR1,23,1
133,VEGFR1,4,5
133,VEGFR1,47,10
133,VEGFR1,6,1
151,VEGFR1,30,0.1
151,VEGFR1,16,1
154,VEGFR1,5,10
154,VEGFR1,31,1
156,VEGFR1,7,10
156,VEGFR1,27,1
162,VEGFR1,27,0.1
162,VEGFR1,8,1
172,VEGFR1,15,1
172,VEGFR1,11,10
175,VEGFR1,11,0.1
175,VEGFR1,5,1
175,VEGFR1,4,10
177,VEGFR1,8,0.1
177,VEGFR1,13,1
180,VEGFR1,48,0.1
180,VEGFR1,48,1
180,VEGFR1,0,10
182,VEGFR1,9,10
182,VEGFR1,45,1
184,VEGFR1,7,10
184,VEGFR1,25,1
205,VEGFR1,47,10
207,VEGFR1,13,1
208,VEGFR1,2,10
211,VEGFR1,2,10
211,VEGFR1,7,1
211,VEGFR1,40,0.1
219,VEGFR1,5,0.1
219,VEGFR1,2,1
222,VEGFR1,6,10
222,VEGFR1,11,1
259,VEGFR1,22,1
259,VEGFR1,12,10
279,VEGFR1,6,1
289,VEGFR1,17,0.01
289,VEGFR1,13,0.1
289,VEGFR1,4,1
293,VEGFR1,29,100
294,VEGFR1,2,10
294,VEGFR1,3,1
300,VEGFR1,9,1
300,VEGFR1,25,0.1
311,VEGFR1,15,10
311,VEGFR1,49,1
313,VEGFR1,1,1
313,VEGFR1,2,0.1
320,VEGFR1,10,0.1
320,VEGFR1,2,1
341,VEGFR1,5,1
357,WNK1,9,1
10,YES1,22,1
25,YES1,32,0.1
25,YES1,8,1
25,YES1,3,10
43,YES1,12,10
66,YES1,49,0.1
66,YES1,10,1
66,YES1,6,10
89,YES1,10,0.1
89,YES1,1,1
90,YES1,11,0.1
90,YES1,17,1
90,YES1,15,10
91,YES1,6,10
91,YES1,11,0.1
91,YES1,11,1
93,YES1,34,0.1
93,YES1,9,1
96,YES1,19,10
96,YES1,41,1
98,YES1,42,10
101,YES1,43,10
115,YES1,5,1
115,YES1,1,10
119,YES1,3,10
119,YES1,3,1
139,YES1,-5,10
139,YES1,42,0.1
139,YES1,21,1
154,YES1,5,10
154,YES1,42,1
156,YES1,9,10
156,YES1,42,1
172,YES1,25,1
172,YES1,19,10
175,YES1,48,0.1
175,YES1,12,1
175,YES1,5,10
181,YES1,37,0.1
181,YES1,11,1
207,YES1,41,1
208,YES1,8,10
211,YES1,13,10
211,YES1,16,1
211,YES1,20,0.1
219,YES1,16,0.1
219,YES1,7,1
259,YES1,13,1
259,YES1,3,10
278,YES1,9,1
278,YES1,30,0.1
279,YES1,6,1
286,YES1,8,1
286,YES1,11,0.1
286,YES1,34,0.01
300,YES1,8,1
300,YES1,36,0.1
313,YES1,18,1
313,YES1,8,0.1
319,YES1,41,0.1
319,YES1,10,1
319,YES1,3,10
328,YES1,1,1
328,YES1,1,0.1
329,YES1,1,1
329,YES1,2,0.1
341,YES1,26,1
66,ZAP70,6,10
208,ZAP70,6,10
