Kinases,Interaction,Target Protein
AURKB_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
AURKA_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK2_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CK2_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK2_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
NUAK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
HIPK4_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK5_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
PRPK_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
AMPK_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
NUAK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
ATM_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
VRK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
VRK2_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CHEK2_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
PLK3_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK5_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK7_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
MAPKAPK5_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK5_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
DYRK2_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
HIPK2_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
PKC_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
PRKCG_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
AURKB_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
AURKB_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
AURKB_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
AURKA_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK2_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CK2_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK2_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
NUAK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
HIPK4_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK5_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
PRPK_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
AMPK_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
NUAK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
ATM_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
VRK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
VRK2_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CHEK2_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
PLK3_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK5_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK7_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
MAPKAPK5_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK5_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
DYRK2_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
HIPK2_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
PKC_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
PRKCG_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
AURKB_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
AURKB_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
AURKB_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
AURKA_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK2_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CK2_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK2_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
NUAK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
HIPK4_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK5_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
PRPK_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
AMPK_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
NUAK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
ATM_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
VRK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
VRK2_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CHEK2_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
PLK3_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK5_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK7_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
MAPKAPK5_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK5_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
DYRK2_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
HIPK2_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
PKC_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
PRKCG_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
TAF1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
TAF1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
GRK5_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
AURKB_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
AURKB_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
AURKB_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
AURKA_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK2_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CK2_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK2_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
NUAK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
SRC_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
SRC_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
SRC_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
SRC_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
SRC_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
SRC_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
STK24_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
MST3_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
ATM_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
PKA_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
PKC_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
PRKCZ_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
RPS6KA1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
AURKB_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
AURKB_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CSK_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
PDPK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
MAPK13_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
MAPK13_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
ABL_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
PKC_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
PRKCD_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
PKC_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
PRKCD_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
GSK3_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
beta_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
MAPK11_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
MAPK14_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
PDPK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
GSK3_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
beta_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
MAPK11_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
MAPK14_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
PDPK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
PDPK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
PI3K_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK5_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
PRPK_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
AMPK_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
NUAK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
ATM_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
VRK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
VRK2_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CHEK2_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
PLK3_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK5_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK7_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
MAPKAPK5_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK5_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
DYRK2_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
HIPK2_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
PKC_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
PRKCG_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
AURKB_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
AURKB_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
AURKB_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
AURKA_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK2_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CK2_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK2_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
NUAK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
HIPK4_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK5_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
PRPK_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
AMPK_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
NUAK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
ATM_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
VRK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
VRK2_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CHEK2_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
PLK3_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK5_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK7_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
MAPKAPK5_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK5_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
DYRK2_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
HIPK2_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
PKC_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
PRKCG_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
TAF1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
TAF1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
GRK5_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
AURKB_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
AURKB_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
AURKB_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
AURKA_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK2_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CK2_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK2_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
NUAK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK5_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
PRPK_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
AMPK_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
NUAK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
ATM_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
VRK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
VRK2_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CHEK2_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
PLK3_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK5_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK7_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
MAPKAPK5_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
AURKB_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
AURKB_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
AURKB_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
AURKA_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK2_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CK2_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK2_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
NUAK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
HIPK4_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK5_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
PRPK_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
AMPK_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
NUAK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
ATM_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
VRK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
VRK2_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CHEK2_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
PLK3_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
MAPKAPK5_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
AURKB_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
AURKB_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
AURKB_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
AURKA_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK2_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CK2_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK2_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
NUAK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK5_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
PRPK_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
AMPK_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
NUAK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
ATM_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
VRK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
VRK2_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CHEK2_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
PLK3_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK5_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK7_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
MAPKAPK5_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
AURKB_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
AURKB_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
AURKB_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
AURKA_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK2_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CK2_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK2_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
NUAK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
HIPK4_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK5_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
PRPK_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
AMPK_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
NUAK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
ATM_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
VRK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
VRK2_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CHEK2_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
PLK3_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK5_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK7_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
MAPKAPK5_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK5_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
DYRK2_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
HIPK2_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
PKC_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
PRKCG_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
TAF1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
TAF1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
GRK5_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
AURKA_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK2_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CK2_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK2_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
NUAK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
MAPK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
PKA_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
MAPK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
PKA_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
PKC_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
PKB_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
AKT1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
PKA_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
MAPK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
MAPK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
PAK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
PAK2_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
PAK3_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
PAK5_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
PAK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
PAK2_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
PAK3_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
SRC_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
SRC_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
PKC_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
MAPK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK2_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK4_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK2_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK4_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
MAPK_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
GSK3_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
MAPK_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
MAPK_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK2_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK4_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
TGFBR1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
TGFBR1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
TGFBR1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK2_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK4_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK2_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK4_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
MAPK_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
GSK3_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
MAPK_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
MAPK_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK2_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK4_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
TGFBR1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
TGFBR1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
TGFBR1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK2_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK4_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK2_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK4_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
MAPK_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
GSK3_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
MAPK_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
MAPK_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK2_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK4_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
TGFBR1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
TGFBR1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
TGFBR1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK2_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK4_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK2_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK4_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
MAPK_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
GSK3_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
MAPK_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
MAPK_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK2_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CDK4_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
TGFBR1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
TGFBR1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
TGFBR1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
FYN_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
SGK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
PDPK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
PDPK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
TTBK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
PDPK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
TTBK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
PDPK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
TTBK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
PDPK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
TTBK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
PDPK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
BRSK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
BRSK2_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
DYRK2_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
PDPK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
PKA_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
PDPK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
GSK3_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
beta_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
PDPK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
PDPK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
PHK_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
MARK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
MARK2_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
MARK3_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
MARK4_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
BRSK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
BRSK2_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
PHK_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
PHK_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
PHK_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
PHK_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
PDPK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
PDPK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
CaMK2_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
TTBK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
PDPK1_HUMAN,phosphorylates,['HSP90AB1_HUMAN']
